dernier_vix,ouverture,higher,lower,variation,date
20.26,20.3,20.32,20.25,+6.30%,2022-12-05
19.06,20.42,20.96,18.95,-3.93%,2022-12-02
19.84,20.83,21.06,19.8,-3.60%,2022-12-01
20.58,21.7,22.63,20.31,-5.98%,2022-11-30
21.89,22.09,22.57,21.83,-1.44%,2022-11-29
22.21,22.09,22.5,21.65,+8.34%,2022-11-28
20.5,20.61,21.11,20.46,+0.39%,2022-11-25
20.42,20.5,20.54,20.31,+0.34%,2022-11-24
20.35,21.49,21.78,20.32,-4.42%,2022-11-23
21.29,22.59,22.71,21.28,-4.79%,2022-11-22
22.36,24.05,24.12,22.3,-3.29%,2022-11-21
23.12,24.03,24.12,22.98,-3.38%,2022-11-18
23.93,24.05,25.18,23.81,-0.75%,2022-11-17
24.11,24.29,24.72,23.99,-1.75%,2022-11-16
24.54,23.77,26.22,23.18,+3.41%,2022-11-15
23.73,23.99,24.33,22.86,+5.37%,2022-11-14
22.52,23.89,23.91,22.37,-4.29%,2022-11-11
23.53,26.51,26.59,22.84,-9.81%,2022-11-10
26.09,25.34,26.35,25.02,+2.15%,2022-11-09
25.54,24.71,26.16,24.24,+4.89%,2022-11-08
24.35,25.67,25.67,24.34,-0.81%,2022-11-07
24.55,25.63,25.71,24.0,-2.96%,2022-11-04
25.3,25.98,26.87,25.1,-2.17%,2022-11-03
25.86,26.04,26.62,25.39,+0.19%,2022-11-02
25.81,25.96,26.35,25.66,-0.27%,2022-11-01
25.88,26.91,27.07,25.84,+0.50%,2022-10-31
25.75,27.43,27.59,25.75,-5.99%,2022-10-28
27.39,27.51,27.67,26.94,+0.40%,2022-10-27
27.28,28.44,28.52,27.27,-4.15%,2022-10-26
28.46,29.8,30.0,28.22,-4.66%,2022-10-25
29.85,30.65,30.95,29.78,+0.54%,2022-10-24
29.69,30.21,30.44,29.24,-0.97%,2022-10-21
29.98,31.3,31.32,29.76,-2.54%,2022-10-20
30.76,30.94,31.9,30.76,+0.85%,2022-10-19
30.5,31.1,31.93,30.42,-2.77%,2022-10-18
31.37,32.27,32.59,30.7,-2.03%,2022-10-17
32.02,31.89,32.98,31.14,+0.25%,2022-10-14
31.94,33.6,33.87,31.63,-4.86%,2022-10-13
33.57,33.54,34.53,33.11,-0.18%,2022-10-12
33.63,33.56,34.43,32.45,+3.64%,2022-10-11
32.45,32.93,33.99,32.05,+3.48%,2022-10-10
31.36,30.37,32.02,29.88,+2.75%,2022-10-07
30.52,28.6,30.74,28.56,+6.90%,2022-10-06
28.55,29.36,30.11,28.5,-1.79%,2022-10-05
29.07,29.52,29.62,28.56,-3.42%,2022-10-04
30.1,33.0,33.06,29.63,-4.81%,2022-10-03
31.62,31.61,33.25,29.39,-0.69%,2022-09-30
31.84,31.67,33.46,31.16,+5.50%,2022-09-29
30.18,34.5,34.88,30.03,-7.42%,2022-09-28
32.6,31.2,34.14,30.3,+1.05%,2022-09-27
32.26,31.74,32.88,29.83,+7.82%,2022-09-26
29.92,27.68,32.31,27.58,+9.40%,2022-09-23
27.35,28.16,28.38,26.71,-2.29%,2022-09-22
27.99,28.03,30.18,25.55,+3.06%,2022-09-21
27.16,25.65,27.81,25.61,+5.43%,2022-09-20
25.76,27.69,27.95,25.56,-2.05%,2022-09-19
26.3,27.47,28.45,26.14,+0.11%,2022-09-16
